ns3,omnet,geom,seed,dist,att_ns3,att_omnet
0.09649393775581126,0.03641571194762684,intersection,4,190,25898,34216
0.08941952801700033,0.02734555215367194,intersection,4,200,17882,23843
0.09521852308535415,0.024762765476728423,intersection,4,210,14598,22130
0.0896197948098974,0.019925207432511395,intersection,4,220,9942,17114
0.07194053623573135,0.016226860968885388,intersection,4,230,7534,12695
0.06886274509803922,0.01486013986013986,intersection,4,240,6375,10296
0.06139419674451522,0.011094601287766221,intersection,4,250,5652,10095
0.06002290950744559,0.0145273822039568,intersection,4,260,4365,10463
0.07964329643296433,0.008608573436401968,intersection,4,270,3252,17076
0.10588752196836555,0.007891858102828567,intersection,4,280,2276,12798
0.09906542056074766,0.005289309184164129,intersection,4,290,1605,6239
0.8896925975220056,0.6744431960875025,mainstreet,0,0,155529,151310
0.7548825107732337,0.5059303365046932,mainstreet,0,10,122990,125288
0.599690196946227,0.3541749900119856,mainstreet,0,20,85861,80096
0.5218478787349431,0.28766604613006025,mainstreet,0,30,125939,126772
0.45016125123501666,0.2641934381840497,mainstreet,0,40,160929,158066
0.38336720645118993,0.23334393081960958,mainstreet,0,50,152530,157270
0.326325623917367,0.22894892293151656,mainstreet,0,60,249392,253930
0.31996278679077583,0.217500977904376,mainstreet,0,70,409532,398812
0.3006360375036828,0.21679109099302998,mainstreet,0,80,173103,177618
0.2656487806065919,0.18735580298926674,mainstreet,0,90,164262,159504
0.2556797443005258,0.18205561818865088,mainstreet,0,100,101369,106440
0.2744807414873224,0.21259932762836187,mainstreet,0,110,50601,52352
0.246563912740071,0.19297512645667647,mainstreet,0,120,65918,67019
0.23192786450362207,0.18684924591405314,mainstreet,0,130,78408,79235
0.2036245545805407,0.16858014966522253,mainstreet,0,140,101309,101560
0.19747077984288178,0.16683800663085663,mainstreet,0,150,78285,77818
0.20752734829972366,0.19062558531560217,mainstreet,0,160,43787,42712
0.23598426303217648,0.18394248052726184,mainstreet,0,170,14234,15021
0.22007406600588172,0.20543356903609974,mainstreet,0,180,18362,18809
0.21320255145023467,0.1618192698982645,mainstreet,0,190,16618,16710
0.2085710106771976,0.1771383124864435,mainstreet,0,200,13674,13831
0.1954384322118922,0.17312194795638505,mainstreet,0,210,14951,14949
0.24240997881854554,0.23064211520302172,mainstreet,0,220,4249,4236
0.5684695051783659,0.40041710114702816,mainstreet,0,230,869,959
0.5114503816793893,0.42805755395683454,mainstreet,0,240,393,556
0.6808510638297872,0.38578680203045684,mainstreet,0,250,94,197
0.881577004794947,0.6960593108041072,mainstreet,1,0,155789,147157
0.7275593388280863,0.5155690335008879,mainstreet,1,10,133218,132892
0.5810213648939441,0.3598402984735082,mainstreet,1,20,104096,87914
0.5167746854746473,0.29311708432194666,mainstreet,1,30,89182,92301
0.46270026169655964,0.2345809633666123,mainstreet,1,40,125336,125705
0.40761401032321704,0.23162450328520282,mainstreet,1,50,117599,127085
0.3422226874304611,0.22573262092103205,mainstreet,1,60,257949,249481
0.3204942640287478,0.22111232669816436,mainstreet,1,70,419371,413152
0.2960205285457876,0.20613580859437095,mainstreet,1,80,217843,207601
0.2808682885656715,0.18749775117838252,mainstreet,1,90,168239,166754
