timeMs,cellId,rnti,bwpId,frame,subFrame,slot,txRnti,srcL2Id,dstL2Id,psschRbStart,psschRbLen,psschSymStart,psschSymLen,psschMcs,ndi,rv,tbSizeBytes,avrgSinr,minSinr,psschTbler,psschCorrupt,sci2Tbler,sci2Corrupt,SEED,RUN
6397.9285629999995,0,63,0,639,7,0,2,2,255,20,20,1,12,14,1,0,291,60.86233995158002,47.8850533295052,0,0,0,0,1,1
6484.928563,0,39,0,648,4,0,3,3,255,0,20,1,12,14,1,0,291,76.1909149747062,42.37597594391695,0,0,0,0,1,1
6567.9285629999995,0,18,0,656,7,0,1,1,255,20,20,1,12,14,1,0,291,400.8260676474086,168.81558764114843,0,0,0,0,1,1
6584.928563,0,95,0,658,4,0,3,3,255,0,20,1,12,14,1,0,291,190.18599078136458,117.17522239286883,0,0,0,0,1,1
6666.9285629999995,0,76,0,666,6,0,1,1,255,20,20,1,12,14,1,0,291,14.192316421695617,0.5927906850608388,0.3126543,1,0,0,1,1
6705.9285629999995,0,57,0,670,5,0,2,2,255,10,20,1,12,14,1,0,291,392.57364111513823,360.78138372343113,0,0,0,0,1,1
6779.928563,0,33,0,677,9,0,3,3,255,0,20,1,12,14,1,0,291,1052.0653946340733,326.5232042186647,0,0,0,0,1,1
6866.928563,0,3,0,686,6,0,1,1,255,20,20,1,12,14,1,0,291,11.976158018627654,2.7196929221761823,0.8184713,1,0,0,1,1
6879.928563,0,85,0,687,9,0,3,3,255,0,20,1,12,14,1,0,291,30.320548074625655,0.210632476417029,0,0,0,0,1,1
6966.9285629999995,0,61,0,696,6,0,1,1,255,20,20,1,12,14,1,0,291,93.89789935933861,1.5742881357838479,0,0,0,0,1,1
7005.928563,0,47,0,700,5,0,2,2,255,10,20,1,12,14,1,0,291,18.0945970505069,4.895576648522169,0,0,0,0,1,1
7079.928563,0,25,0,707,9,0,3,3,255,0,20,1,12,14,1,0,291,11.615281765472487,5.864642792710146,0.0004,0,0,0,1,1
7117.928563,0,17,0,711,7,0,2,2,255,0,20,1,12,14,0,1,291,49.859605150363684,32.09576472259318,0,0,0,0,1,1
7179.9285629999995,0,77,0,717,9,0,3,3,255,0,20,1,12,14,1,0,291,149.75498595492473,121.50266324310863,0,0,0,0,1,1
